kraj,month,year,bilance
ZLK,10,2009,5.213
JHC,10,2009,5.213
PHA,11,2009,2.990
STC,11,2009,2.990
JHM,11,2009,2.990
PLK,11,2009,2.990
HKK,11,2009,2.990
VYS,11,2009,2.990
KVK,11,2009,2.990
LBK,11,2009,2.990
PAK,11,2009,2.990
MSK,11,2009,2.990
OLK,11,2009,2.990
ULK,11,2009,2.990
ZLK,11,2009,2.990
JHC,11,2009,2.990
PHA,12,2009,-4.957
STC,12,2009,-4.957
JHM,12,2009,-4.957
PLK,12,2009,-4.957
HKK,12,2009,-4.957
VYS,12,2009,-4.957
KVK,12,2009,-4.957
LBK,12,2009,-4.957
PAK,12,2009,-4.957
MSK,12,2009,-4.957
OLK,12,2009,-4.957
ULK,12,2009,-4.957
ZLK,12,2009,-4.957
JHC,12,2009,-4.957
PHA,1,2010,6.318
STC,1,2010,6.318
JHM,1,2010,6.318
PLK,1,2010,6.318
HKK,1,2010,6.318
VYS,1,2010,6.318
KVK,1,2010,6.318
LBK,1,2010,6.318
PAK,1,2010,6.318
MSK,1,2010,6.318
OLK,1,2010,6.318
ULK,1,2010,6.318
ZLK,1,2010,6.318
JHC,1,2010,6.318
PHA,2,2010,4.155
STC,2,2010,4.155
JHM,2,2010,4.155
PLK,2,2010,4.155
HKK,2,2010,4.155
VYS,2,2010,4.155
KVK,2,2010,4.155
LBK,2,2010,4.155
PAK,2,2010,4.155
MSK,2,2010,4.155
OLK,2,2010,4.155
ULK,2,2010,4.155
ZLK,2,2010,4.155
JHC,2,2010,4.155
PHA,3,2010,4.636
STC,3,2010,4.636
JHM,3,2010,4.636
PLK,3,2010,4.636
HKK,3,2010,4.636
VYS,3,2010,4.636
KVK,3,2010,4.636
LBK,3,2010,4.636
PAK,3,2010,4.636
MSK,3,2010,4.636
OLK,3,2010,4.636
ULK,3,2010,4.636
ZLK,3,2010,4.636
JHC,3,2010,4.636
PHA,4,2010,3.018
STC,4,2010,3.018
JHM,4,2010,3.018
PLK,4,2010,3.018
HKK,4,2010,3.018
VYS,4,2010,3.018
KVK,4,2010,3.018
LBK,4,2010,3.018
PAK,4,2010,3.018
MSK,4,2010,3.018
OLK,4,2010,3.018
ULK,4,2010,3.018
ZLK,4,2010,3.018
JHC,4,2010,3.018
PHA,5,2010,2.689
STC,5,2010,2.689
JHM,5,2010,2.689
PLK,5,2010,2.689
HKK,5,2010,2.689
VYS,5,2010,2.689
KVK,5,2010,2.689
LBK,5,2010,2.689
PAK,5,2010,2.689
MSK,5,2010,2.689
OLK,5,2010,2.689
ULK,5,2010,2.689
ZLK,5,2010,2.689
JHC,5,2010,2.689
PHA,6,2010,-1.061
STC,6,2010,-1.061
JHM,6,2010,-1.061
PLK,6,2010,-1.061
HKK,6,2010,-1.061
VYS,6,2010,-1.061
KVK,6,2010,-1.061
LBK,6,2010,-1.061
PAK,6,2010,-1.061
MSK,6,2010,-1.061
OLK,6,2010,-1.061
ULK,6,2010,-1.061
ZLK,6,2010,-1.061
JHC,6,2010,-1.061
PHA,7,2010,-10.935
STC,7,2010,-10.935
JHM,7,2010,-10.935
PLK,7,2010,-10.935
HKK,7,2010,-10.935
VYS,7,2010,-10.935
KVK,7,2010,-10.935
LBK,7,2010,-10.935
PAK,7,2010,-10.935
MSK,7,2010,-10.935
OLK,7,2010,-10.935
ULK,7,2010,-10.935
ZLK,7,2010,-10.935
JHC,7,2010,-10.935
PHA,8,2010,-7.702
STC,8,2010,-7.702
JHM,8,2010,-7.702
PLK,8,2010,-7.702
HKK,8,2010,-7.702
VYS,8,2010,-7.702
KVK,8,2010,-7.702
LBK,8,2010,-7.702
PAK,8,2010,-7.702
MSK,8,2010,-7.702
OLK,8,2010,-7.702
ULK,8,2010,-7.702
ZLK,8,2010,-7.702
JHC,8,2010,-7.702
PHA,9,2010,-4.851
STC,9,2010,-4.851
JHM,9,2010,-4.851
PLK,9,2010,-4.851
HKK,9,2010,-4.851
VYS,9,2010,-4.851
KVK,9,2010,-4.851
LBK,9,2010,-4.851
PAK,9,2010,-4.851
MSK,9,2010,-4.851
OLK,9,2010,-4.851
ULK,9,2010,-4.851
ZLK,9,2010,-4.851
JHC,9,2010,-4.851
PHA,10,2010,-3.749
STC,10,2010,-3.749
JHM,10,2010,-3.749
PLK,10,2010,-3.749
HKK,10,2010,-3.749
VYS,10,2010,-3.749
KVK,10,2010,-3.749
LBK,10,2010,-3.749
PAK,10,2010,-3.749
MSK,10,2010,-3.749
OLK,10,2010,-3.749
ULK,10,2010,-3.749
ZLK,10,2010,-3.749
JHC,10,2010,-3.749
PHA,11,2010,-4.867
STC,11,2010,-4.867
JHM,11,2010,-4.867
PLK,11,2010,-4.867
HKK,11,2010,-4.867
VYS,11,2010,-4.867
KVK,11,2010,-4.867
LBK,11,2010,-4.867
PAK,11,2010,-4.867
MSK,11,2010,-4.867
OLK,11,2010,-4.867
ULK,11,2010,-4.867
ZLK,11,2010,-4.867
JHC,11,2010,-4.867
PHA,12,2010,-8.230
STC,12,2010,-8.230
JHM,12,2010,-8.230
PLK,12,2010,-8.230
HKK,12,2010,-8.230
VYS,12,2010,-8.230
KVK,12,2010,-8.230
LBK,12,2010,-8.230
PAK,12,2010,-8.230
MSK,12,2010,-8.230
OLK,12,2010,-8.230
ULK,12,2010,-8.230
ZLK,12,2010,-8.230
JHC,12,2010,-8.230
PHA,1,2011,3.926
STC,1,2011,3.926
JHM,1,2011,3.926
PLK,1,2011,3.926
HKK,1,2011,3.926
VYS,1,2011,3.926
KVK,1,2011,3.926
LBK,1,2011,3.926
PAK,1,2011,3.926
MSK,1,2011,3.926
OLK,1,2011,3.926
ULK,1,2011,3.926
ZLK,1,2011,3.926
JHC,1,2011,3.926
PHA,2,2011,559
STC,2,2011,559
JHM,2,2011,559
PLK,2,2011,559
HKK,2,2011,559
VYS,2,2011,559
KVK,2,2011,559
LBK,2,2011,559
PAK,2,2011,559
MSK,2,2011,559
OLK,2,2011,559
ULK,2,2011,559
ZLK,2,2011,559
JHC,2,2011,559
PHA,3,2011,9.384
STC,3,2011,9.384
JHM,3,2011,9.384
PLK,3,2011,9.384
HKK,3,2011,9.384
VYS,3,2011,9.384
KVK,3,2011,9.384
LBK,3,2011,9.384
PAK,3,2011,9.384
